Category,Brands
Hàng nhập Hàn Quốc - Thời trang nam,"8seconds,adidas,alfriends,all-jean,american-west,andew,apple-story,armedes,arnaldo-bassini,beigeco,bonnie-alex,bubbletree,buckaroo,champion,chariot,chasecult,chris-christy,clriden,codes-combine,comfy,culj,dangoon,dflic,ezbuy,feelgold,forever21,frankie-newyork,frj-jeans,fuerza,giordano,hanjhstyle,harrison-homme,huiz-homme,huiz-homme,interface,jbros,jeme,jiggygen,karlkani,kr-fashion,lacoste,lacrosse,lap,legen,legen-homme,leot,lsolid,lucien,mauna-kea,mfill,modest,moncross,moniz,mpromise,mutnam,nba,ngene,nii,nuviis,omphalos,paul-n-paul,place-mall,polham,puma,raymon-homme,ready-fit,reset,roadsatr,rocawear,rootoo,slacks,stco,superstari1,tate,tbj,teams-polham,the-cover,the-layer,thecover,tommy-hilfiger,topboy,try,unionbay,unlock,unlook,urbane,whoau,ziozia"
Thể thao - Phụ kiện thể thao,"adidas,andes,arisle,bell,belle,bitis,doosung,dunlop,giro,golf,happy-socks,kabuto,pervic,qnt,reebok,runstatic,slimtess,sportslink,thegioipatin,tien-sport,toan-anh-sport"
Gia dụng - Nội thất Decor,"7gift,aba,advindeg,airwick,ambi-pur,bao-inox,bao-thy,bat-trang,beanbag,bolsius,brait,carrot,coleman,dekor,dyvina,ecolife,esum,ftramart,duc-thanh,golden-dragon,hana,hang-son-dien,hokoog,homi,inter-design,jang-in,joyroom,kelvin,klc,klosso,kozoka,locklock,lorganic,miss-candle,miss-curtain,modulo-home,mondaine,nachtmann,ngs-gold,nguyen-hanh,nuova,oem,perfect,quang-minh-candle,richell,shplastic,silklamp,suemall,sunmax,tashuan,tbl,thanh-long,the-gioi-tranh-dep,uncle-bills,vicdecor,vidc,vidivi,viethands"
Nội y & đồ mặc nhà - Đồ lót nam,"boydy,ewin,ibasic,j-buss,jockey,phan-nguyen,procare,sfin,white-horse,woada"
Hàng nhập Hàn Quốc - Giày nam,"akiii-classic,aldo,banana-farm,boy-london,converse,dadoende,daks,flexi-series,geppetto,homeshopping,hoz,jackjill,jbros,koorooshoes,marvel,mooda,new-balance,paperplanes,pascorozen,shoeone,sinsaya,slazenger,snrd,spordino,the-cover,the-maling,ticntoc,worldcup"
Giày túi - Va li,"american-tourister,arte,carlton,dong-hwa,eastpak,eddas,gia-huy,heys,kamiliant,locklock,loqi,macat,pendleton,ricardo,roncato,skyway,travelers-choice,traverse,trip"
Điện máy - Thiết bị IT,"7gift,adata,apacer,cooler-master,hzt,jolimark,magitech,pantum,silicon-power,techmate,texet,transcend"
Thể thao - Quần áo thể thao Nam,"adam,adidas,anta,arisle,bao-an,bitis,colo,delta,dff,dunlop,handee,hiye,john-henry,maxsport,mimishop,mot-viet,new-balance,papka,pervic,reebok,so-young,sportslink,td,tdn,tokuni,vic,xtep"
Thể thao - Dụng cụ thể thao,"dang-nguyen-sport,delta,dunlop,hebeyoga,iscooter,mofit,no-brand,sportslink,thai-son,thegioipatin,tien-sport,toan-anh-sport,tvdirect"
Nội y & đồ mặc nhà - Phụ kiện,"format,ibasic"
"Giày túi - Túi xách, ví nữ","adorne,artemys,bandolini,botusi,carat,cindydrella,dollypolly,erosska,foxer,girlie,gosto,hk-fashion,huyhoang,its-well-plus,julicat,l&j,leorno,lody,lt_bag,luna-llena,midan,mikkor,nine-west,pendleton,phucan,shoesbagdelete,sweet-berry,thu-dong,venuco,verchini,xox"
Mẹ & bé - Dụng cụ an toàn,"3m,aoberst,babymoov,bao-nhien,basilic,beurer,brevi,canpol-babies,farlin,fashy,ikami,k-mom,ks-kids,kuku,munchkin,nip,nuk,pigeon,richell,simba,summer-infant-br1,tollyjoy"
Thời trang - Thời trang nam,"apex,atom,bernice,blue-exchange,freelancer,gavani,gold-rhino,ht-fashion,jockey,john-henry,kisetsu,lamer,macio,mint-basic,motivo,novelty,open,phan-nguyen,phuc-an,pierre-cardin,pt79,sanding-gold,seaman,silverline,so-young,tcm,the-cosmo,thivi,vienne-tran,vinh-tien,zara,zart"
Điện máy - Tai nghe,"1more,akg,astell-n-kern,audio-technica,aukey,bose,cliptec,cooler-master,dragonwar,elecom,fenda,genius,harman-kardon,hp,iluv,intopic,iwalk,jabra,jbl,joyroom,kashimura,kz-(knowledge-zenith),microlab,microsoft,monster,ostry,partron,plantronics,qinlian,roccat,rock,roman,sades,sennheiser,shozy,skullcandy,sony,soundmagic,texet,tfz,wk,xiberia,yison"
Gia dụng - Chăn drap / Gối Nệm,"ann-taylor,berry,beurer,blackdecker,branio,cobonla,coleman,drap24,dremel,dunlopillo,everon,fountain,grand,haewon,hana,harumi,home-sweet-home,intex,jang-in,jean-perry,julia,lien-a,locklock,lotus,miss-curtain,miyoshi,my-house,nem-viet,novelle-br1,poly,qnis,sesa,softdecor,studio-77,toto,tulip,van-thanh,viethands,vii-house,windsir,yoona-korea"
Mẹ & bé - Phụ kiện cho bé,"aprica,attipas,babyguard,babyone,bebe,bitas,bitis-kid,bouncie,cuckeo,elora,farlin,fashy,geox,globber,hello-bb,heys,ibasic,ks-kids,kaloo_mb,kiddus,kuku,lan-hanh,locklock,maltini,nekohero,parakito,pink-poppy,schneiderpen,shadez,simba,sunday-afternoons,sutumi,sweet-berry,taka,tiger-family,tollyjoy,totum,trunki,v-idol,vigcom,vuon-xuan"
Phụ kiện - Trang sức,"ancarat,beryl,cuu-boho,daniel-wellington,elora,erosska,kelly,laliz,moc,ngs-rose,opal,pinky-accessorries,salas-jewlry,tatiana,xtm,yeno"
Điện máy - Sức khỏe,"gali,legi,ngs-gold,perfect,steam0belt,tiross"
Giày túi - Túi du lịch,"arte,artemys,botusi,cabinzero,eastpak,foxer,locklock,loqi,lt_bag,macat,mikkor,moriitalia,pendleton,phucan,ricardo"
Thời trang - Thời trang nữ,"afterbefore,ainosofia,almira,amelia,amme,an-thuy,angeli-pham,aroogirl,atom,bella-moda,benron,blue-exchange,can-de-blanc,chelle,cherry-tree,chipxinhxk,cirino,cuckeo,dam-theu-sara,dany-shop,de-charme,de-vani,double-one,eden,freelancer,gaga,gavani,gold-rhino,guco,hityfashion,hoa-viet,hoang-my,hoaviet,jp-fashion,kk-fashion,kassun,kelly,kisetsu,kym,lamer,lamos-fashion,le-chateau,leena,lilya,lime-orange,lovadova,luna-llena,macio,mays-house,mdm,mimishop,mint-basic,myone-fashion,open,pamela,papka,pervic,quyen,rever,sanding-silver,so-young,son-nguyen,sunfly,sweet-berry,tcm,the-cosmo,the-one-fashion,the-xuchu,thivi,tisa,tonala,tosonfashion,triumph,vandos,vic,vicci,vienne-tran,zara,zart,zenfdy,zerasy,zun-the-label"
Gia dụng - Đồ dùng nhà bếp,"7gift,aladdin,apollo,asvel,bao-inox,barrier,bat-trang,bialetti,blue-house,bohemia,btraco,carlmann,carrot,coleman,comet,cs,cubes,dafi,delaware,dong-hwa,doshisha,duralex,duy-thanh,easy-body,elmich,everon,glasslock,duc-thanh,happy-cook,happy-mom,happycook-glass,herevin,hi-home,home-select,homio,incense,inter-design,joseph-joseph,kahchan,klc,kormel,kova,kuchenzimmer,kyocera,la-fonte,la-gourmet,laica,laspalm,legle,leonardo,lionstar,locklock,lucaris,luminarc,mellita,moriitalia,nachtmann,neoflam,ngs-gold,no-brand,nuova,o2cool,ocean,oem,prota,qnt,quantumby,renga,richell,sakura,samadoyo,samsuni,shika,silicone,silipang,skater,stanley,superlock,supor,taka,tark,tashuan,thanh-long,thermos,tiger,tramontina,traseal,trino,trudeau,truong-tho,tvdirect,uncle-bills,victorinox,vidivi,viet-thang,viethome,visions,yuwon-ps,zebra,zojirushi"
Mỹ phẩm - Chăm sóc cơ thể,"3w-clinic,aplus,andalou-naturals,annayake,ans,ara,asami,aspasia,atz-healthy-life,avif,banana-boat,bath-body-works,beaumore,beautee-collagen,beauty-buffet,beauugreen,beyond,bioderma,botani,bright-doctors,byphasse,cathy-doll,cetaphil,cnkcos,corine-de-farme,dabo,daeng-gi-meo-ri,dalan,darkness,dew-dew,dhc,diamond,dicora-urban-fit,dove,eccomorning,echoice,ecolife,enesti,enliven-br1,enprani,eveline,evoluderm,fantasy,flormar,ghands,green-cross,handmade,healing-bird,health-basic,henkel,holika-holika,intesa,its-well-plus,jacklon,jada,la-roche-posay,ladykin,lamcosme,laneige,lanopearl,leeblese,locean,love-cinema,lovite,lubriderm,malizia,marie-lucie,may,miccosmo,milaganics,milky-dress,milmil,miyako,monsavon,mutouch,nagano,naris,naruko,nature-queen,neutrogena,no-brand,nots,on-the-body,oreaf,organia,orlane,palmer,paulas-choice,pelican,pfn-nature,plu,prorance,rb,ragowoori,rarita,roseheart,saengn,sakura,sandra's-secret,sebamed,skin-&-body-care,skin-dress,skincube,skinfood,skinlovers,skylake,snp,soâbio-etic,somang,sslim,stives,svr,thalgo,the-rucy,thefaceshop,tigo,tonymoly,treaclemoon,vacosi,vedette,veet,vichy,yves-rocher"
Gia dụng - Đồ dùng nhà cửa,"3up,777,7gift,aaa,abloy,airtech,airwick,ariranglife,baba,babybelle,barrier,bat-trang,beurer,bidet,blackdecker,bmc,bosch,boso,bws,classymom,cleansui,cobonla,coleman,comet,continental,cs,dai-sinh,delaware,diy,dksh,dong-hwa,dr-kare,dremel,duy-thanh,eks,energizer,eucryl,famacell,forcans,ftramart,fujipan-2,glb,goodlife,gpulse,hansinco,haupon,hi-home,hi-power,hop-tri,imedicare,inter-design,joyoung,joyroom,julia,kachi,kangaroo,kawachi,kbd,kentom,khewra,klc,kuchenzimmer,la-fonte,laica,lanaform,leo,locklock,lorganic,lumena,mama,medismart,mellita,milaganics,modulo-home,moriitalia,namilux,national-brand,naturnic,neoflam,new-nabie,ngs-gold,nhon-hoa,nikawa,no-brand,oem,omega,onguard,ozone,perfetta,philips,power-air,profine,prota,relaxsan,rewa,richell,rossmax,sakura,scala,silicone,skater,skylake,skyway,smartkey,so-easy,spirit,spray-8,strabilia,sunhouse,sunmax,syro,sysmed,taeil,taipro,tashuan,thanh-long,thao-moc-vina,torayvino,toto,trudeau,turbo,turbo-six,tvdirect,uncle-bills,victorinox,viethands,vifami,xukiva,yuwon-ps,zojirushi"
Điện máy - Điện tử,"akino,gunners,imusic,mxq-pro,sony,xcl"
"Thể thao - Túi xách, ba lô","8848,adidas,arte,artemys,botusi,cabinzero,cindydrella,dutti,eastpak,foxer,girlie,glado,haras,healthy-back-bag,hk-fashion,hopp,huyhoang,john-henry,joyroom,kym,loqi,lt_bag,macat,mikkor,mooncat,mr-ace-home,passo,phucan,point,praza,reebok,reisenthel,rivacase,ronal,simplecarry,sonoz,sportslink,thu-dong,toan-anh-sport,tomi,toppu,venque,venuco,wenger,xox,yes24"
Hàng nhập Hàn Quốc - Phụ kiện,"4xtyle,alfriends,alpachino,american-story,apmeri,apple-story,arnaldo-bassini,babosarang,belivus,bikively,blackboy,blucats,blue-light,bonasor,boy-london,burberry,calvin-klein,casio,chocogem,cottonlavender,dg,daniel-wellington,dearjane,di-cubo,dicubo,dongtaemun,doremi,dparks,elizabeth-arden,elle,eunyul,fashion-full,fila,forever21,fuerza,genial,guess,hachill,henes,honeybee-korea,hrjewelry,idaily,ittu,jbros,jeme,jervie,jimmy-choo,jnana,jucy-judy,julius,kitschisland,lacoste,lap,leshop,loopee,luckyjoa,marc-jacobs,minishop,narciso-rodriguez,nayastyle,nba,paparazzib,ppgirl,puma,rorococo,shopnstory,showoff,sogosi,style-long,supreme,swib,takibz,tesla,the-laura,towoo,valentino-rudy,van-ake,wbestone,ziozia"
Mẹ & bé - Thời trang bé gái,"amprin,ardilla,bebe,bieber,cherie,cuckeo,de-bon,fashy,ginger-world,girlyone,hello-bb,khanhngockids,kokonut,kuku,lan-hanh,little-princess,lullaby,nous,pipo,tollyjoy,tutu-n-petti,vta,vuon-xuan,will"
Phụ kiện - Phụ kiện tóc,"chic-et-plus,elle,erosska,pinky-accessorries"
