Domain,Url,Product_id,Brand,Category,Model,Price,Seller,Info
lazada.vn,https://www.lazada.vn/products/banh-yen-mach-hq-hop-500g-lien-doanh-i167206095-s183008619.html?search=1,167206095,viet nam san xuat,Đồ ăn sáng,Bánh yến mạch HQ hộp 500g ( liên doanh),45.000 ₫,Banhkeo online,"Bánh yến mạch Mỹ liên 500g premium  Organic rất giàu dinh dưỡng, hương vị thơm ngon bổ dưỡng cho cả gia đình. "
lazada.vn,https://www.lazada.vn/products/ngu-coc-calbee-nhat-ban-600g-mau-trang-date-thang-42019-hanh-nhan-dau-bi-nho-va-cac-loai-trai-cay-say-kho-date-4-2019-i135426918-s137402697.html?search=1,135426918,Calbee,Đồ ăn sáng,"Ngũ cốc Calbee Nhật Bản 600g màu trắng date Tháng 4.2019 Hạnh Nhân, dâu bí nho và các loại trái cấy sấy khô Date 4 /2019",185.000 ₫,thaihashop,"Ngũ cốc sấy khô Calbeelà sản phẩm nổi tiếng của Nhật giúp bạn luôn yên tâm về chất lượng cũng như giá trị dinh dưỡng đã được công bố. Nó giàu calcium, chất xơ và các loại Vitamin B6, Vitamin A, Vitamin D, Vitamin B12 và cả Axit Folic rất tốt cho bà bầu và cũng như phụ nữ đang cho con bú. "
lazada.vn,https://www.lazada.vn/products/yen-mach-nguyen-hat-can-mong-quaker-oats-1kg-i202298000-s252546136.html?search=1,202298000,Quaker,Đồ ăn sáng,Yến mạch nguyên hạt cán mỏng Quaker Oats (1kg) ,61.000 ₫,BonCosmetics,Yến mạch nguyên hạt 100% tự nhiên 
lazada.vn,https://www.lazada.vn/products/ngu-coc-calbee-mau-do-800g-date-thang-52019-i156665671-s167053086.html?search=1,156665671,Calbee,Đồ ăn sáng,Ngũ cốc Calbee màu đỏ 800G Date Tháng 5.2019,173.000 ₫,thaihashop,Ngũ cốc Calbee 800g mẫu mới Năm 2019 
lazada.vn,https://www.lazada.vn/products/yen-mach-quaker-oats-452kg-can-vo-i102396885-s102881621.html?search=1,102396885,Quaker,Đồ ăn sáng," Yến mạch Quaker Oats 4,52kg (cán vỡ)",205.000 ₫,Giảm Cân Ngoại (Tp.HCM),Yến mạch ăn liền nguyên chất 
lazada.vn,https://www.lazada.vn/products/yen-mach-nguyen-hat-can-det-quaker-oats-1kg-tang-02-mat-na-duong-trang-ha-pearl-light-perception-i101364205-s101599955.html?search=1,101364205,Quaker,Đồ ăn sáng,Yến mạch nguyên hạt cán dẹt Quaker Oats (1kg) + Tặng 02 mặt nạ dưỡng trắng HA Pearl Light Perception,69.000 ₫,TBYT Cong Dong (Hà Nội),Lu&ocirc;n đảm bảo date mới nhất cho kh&aacute;ch l&agrave;  hạn d&ugrave;ng 15 th&aacute;ng 
lazada.vn,https://www.lazada.vn/products/bo-5-tui-banh-yen-mach-400gtui-han-quoc-i151181461-s159162261.html?search=1,151181461,Korean,Đồ ăn sáng,Bộ 5 Túi Bánh Yến Mạch 400g/túi Hàn Quốc,187.500 ₫,DƯỢC THẢO VIỆT TỰ NHIÊN,Xuất xứ: H&agrave;n Quốc 
lazada.vn,https://www.lazada.vn/products/ngu-coc-dinh-duong-original-maccereal-canxi-20goi-x-28g-i132749769-s133361775.html?search=1,132749769,Maccoffee,Đồ ăn sáng,Ngũ cốc dinh dưỡng Original MacCereal Canxi (20gói x 28g),55.000 ₫,CÔNG TY THÀNH THUẬN THIÊN,Được làm từ 5 loại ngũ cốc hảo hạng kết hợp với kem không béo và đường 
lazada.vn,https://www.lazada.vn/products/sap-gia-sua-beo-tang-can-cho-nguoi-gay-new-milky-nga-goi-1kg-i234727559-s298918821.html?search=1,234727559,OEM,Đồ ăn sáng,SẬP GIÁ Sữa béo tăng cân cho người gầy new milky nga gói 1kg,229.000 ₫,BoomMart,Đối với những ai có thân hình gầy gò thì câu hỏi thường trực là “ăn gì để tăng được cân? 
lazada.vn,https://www.lazada.vn/products/banh-quy-nhan-mut-viet-quat-ever-120g-nhap-khau-malaysia-i103929713-s104879794.html?search=1,103929713,Ever,Đồ ăn sáng,Bánh quy nhân Mứt Việt quất Ever - 120g- Nhập khẩu Malaysia,22.000 ₫,BigDream,Th&ocirc;ng tin thương hiệu 
